,weighted_degree
Hsa.3004,153.0012206741748
Hsa.13491,53.081898845059875
Hsa.13491.1,47.2268436059476
Hsa.37254,52.41042173933415
Hsa.541,16.425068889338007
Hsa.20836,7.206405506547254
Hsa.1977,77.9873903669297
Hsa.44472,18.870943707648618
Hsa.3087,54.580892604330465
Hsa.1447,28.155969078134024
Hsa.750,4.054708038598439
Hsa.45293,10.217978650281868
Hsa.2555,97.66480436194253
Hsa.467,59.6043073663001
Hsa.539,57.060524510325266
Hsa.2357,157.71345091404865
Hsa.474,115.50177575241698
Hsa.749,8.44701916853269
Hsa.24464,71.80766415660834
Hsa.2597,68.66876419634687
Hsa.3835,67.37536357543445
Hsa.6080,25.613393898775158
Hsa.3002,109.20007648486359
Hsa.1119,44.8894398949242
Hsa.44472.1,8.549643254628503
Hsa.4689,38.37065648557486
Hsa.45293.1,35.165911332967255
Hsa.5710,217.856216937314
Hsa.20836.1,9.623871344813159
Hsa.909,5.314700902916257
Hsa.878,98.69306237120036
Hsa.1648,43.436531282865296
Hsa.1836,18.002782663935385
Hsa.1273,82.18892457745878
Hsa.19249,0.8716864391772682
Hsa.2948,59.57247614265982
Hsa.7877,61.74501859103014
Hsa.1400,40.612224531174974
HSAC07....................................................................................................................................................................................................................................................................,58.365202484710814
HSAC07.....................................................................................................................................................................................................................................................................1,58.365202484710814
HSAC07.....................................................................................................................................................................................................................................................................2,58.365202484710814
HSAC07.....................................................................................................................................................................................................................................................................3,58.365202484710814
Hsa.8068,105.41936848593845
Hsa.1139,102.96042341900247
Hsa.27083,173.83292951980366
Hsa.3006,29.918987315270467
Hsa.5398,36.34082051479408
Hsa.2299,141.9558595056728
Hsa.1013,2.420235154151375
UMGAP........................................................................................................................................................................................................................................................................,9.144029876326778
UMGAP.........................................................................................................................................................................................................................................................................1,9.144029876326778
UMGAP.........................................................................................................................................................................................................................................................................2,9.144029876326778
UMGAP.........................................................................................................................................................................................................................................................................3,9.144029876326778
Hsa.2221,106.14990266663824
Hsa.1238,31.473140284388503
Hsa.6039,51.26415692837459
Hsa.98,58.48442424869937
Hsa.2019,126.56952304288605
Hsa.1732,15.744380894742392
Hsa.5363,50.41293421110885
Hsa.8093,151.86699321759505
Hsa.5444,116.61333849908914
Hsa.3094,166.3768455027805
Hsa.1949,165.21609007194505
Hsa.361,121.12508984135594
Hsa.8125,0.0
Hsa.2361,9.226888078236762
Hsa.255,128.92087922459132
Hsa.2699,38.07977174192471
Hsa.1013.1,2.4551853666346095
Hsa.2542,95.1519813188683
Hsa.678,26.856673426590454
Hsa.36957,50.713241513882934
Hsa.44403,25.60952938862202
Hsa.2800,76.07330346111468
Hsa.25867,121.0118541216288
Hsa.6977,163.78866397939063
Hsa.24121,174.73347682122673
Hsa.9304,10.04724359009488
Hsa.2063,125.89007213317694
Hsa.36957.1,67.74899197664794
Hsa.938,59.75289003681928
Hsa.33965,22.66952441864368
Hsa.2219,33.552025821933775
Hsa.2665,141.9041798008262
Hsa.954,65.20347010540806
Hsa.1812,83.5790450327034
Hsa.27685,35.22658528044234
Hsa.20,189.13901830330488
Hsa.2151,96.72231118020711
Hsa.489,121.02252129023475
Hsa.12257,83.93732320237909
Hsa.2026,125.39571093099308
Hsa.1500,85.9872117730319
Hsa.5292,33.45944568987587
Hsa.18897,10.830302187551974
Hsa.45222,106.30499341112409
Hsa.32730,207.42801374142545
Hsa.2419,177.75645408851125
Hsa.1985,26.729039044654325
Hsa.10363,20.990105738658645
Hsa.3566,116.24299658705365
Hsa.689,213.07513132065276
Hsa.624,91.51004758895358
Hsa.1978,67.40734685254027
Hsa.3409,8.781044541476437
Hsa.5346,32.19936726221538
Hsa.38205,119.48634786910085
Hsa.2582,135.94158608366575
Hsa.11712,9.086244416272583
Hsa.10755,31.298043148558456
Hsa.2600,130.34639732432606
Hsa.68,185.43827544878695
Hsa.4316,250.34496167293108
Hsa.2918,4.811980534896635
Hsa.914,9.004105292203079
Hsa.7280,11.504189846350021
Hsa.8126,1.6510327914670748
Hsa.1737,2.428974779589893
Hsa.1939,1.8178673210985914
Hsa.2929,130.12668850191062
Hsa.21232,100.84907866604294
Hsa.1961,216.30963629359474
Hsa.916,4.205494945745292
Hsa.1732.1,11.83454400460835
Hsa.13183,48.15767338516237
Hsa.4252,83.60635769839848
Hsa.572,253.249703015054
Hsa.45260,134.58620667643703
Hsa.73,51.66631467454179
Hsa.3225,58.85395829273969
Hsa.6977.1,5.5596915800829425
Hsa.3129,131.19021426088003
Hsa.34312,170.05444958551098
Hsa.41309,162.10497634940486
Hsa.537,208.2360839434244
Hsa.36694,74.79386607517851
Hsa.957,107.39058972386306
Hsa.668,20.91668007107844
Hsa.10975,71.77147106120943
Hsa.451,185.30835207822852
Hsa.41357,5.899550459142424
Hsa.810,0.9508803812292967
Hsa.2071,57.039790529939005
Hsa.2655,140.8690912393338
Hsa.91,10.209704824943604
Hsa.558,71.34744212846506
Hsa.1222,75.05374426250233
Hsa.3017,4.746478399087028
Hsa.3409.1,12.119499736548375
Hsa.652,3.968571171507608
Hsa.1829,5.442876874279403
Hsa.1367,3.1383980243545433
Hsa.63,137.60885670523857
Hsa.27491,69.66956233605771
Hsa.1803,32.11035056772146
Hsa.3197,156.09157978569692
Hsa.22614,208.94089697893125
Hsa.45604,35.493856819138365
Hsa.36957.2,10.887786078230938
Hsa.11096,49.93595214407781
Hsa.10306,111.75147388370492
Hsa.43252,75.52670843566963
Hsa.5821,12.472909217454909
Hsa.733,164.42398448027066
Hsa.2357.1,156.92398009073827
Hsa.31,2.5557994169883234
Hsa.24539,204.5770600611466
Hsa.22614.1,223.25354192381394
Hsa.6146,115.21819758977603
Hsa.45604.1,115.79118277866228
Hsa.19,191.04657712099737
Hsa.644,223.68911546120069
Hsa.21418,182.72702496011718
Hsa.18664,85.67564816409988
Hsa.25451,62.87913561698657
Hsa.8831,0.0
Hsa.10510,11.015435839782004
Hsa.514,57.64755592586726
Hsa.2663,141.9371602007554
Hsa.120,45.08949048943961
Hsa.1137,68.5299337685701
Hsa.2831,38.954496286364694
Hsa.2015,136.76189654168908
Hsa.10305,65.86267406663531
Hsa.2244,153.79578040300555
Hsa.832,117.37214808880212
Hsa.1116,5.382508049395846
Hsa.422,208.0140668094794
Hsa.2773,126.10409086133272
Hsa.39141,35.250903768757766
Hsa.1822,7.115245341932479
Hsa.6376,188.11687612904603
Hsa.580,186.90996151895615
Hsa.24948,269.67601439911414
Hsa.24652,176.40884078111893
Hsa.2463,23.610680198812307
Hsa.3003,107.47858752501234
Hsa.812,170.0105044168568
Hsa.8305,179.23049229111675
Hsa.1130,21.40925751594538
Hsa.2360,140.07664213002255
Hsa.570,199.55545693831314
Hsa.15115,31.87701431345945
Hsa.36074,211.83061136343161
Hsa.304,0.7866373996940051
Hsa.7498,197.98354895248957
Hsa.338,209.61969017633223
Hsa.6671,49.92642444604178
Hsa.2846,144.78623936101064
Hsa.9255,112.96967412367837
Hsa.915,15.71939629019784
Hsa.9817,161.2303515532007
Hsa.1181,49.29422223353544
Hsa.26128,46.728763004953656
Hsa.546,212.89437780276813
Hsa.991,94.22890155350856
Hsa.31882,41.8479626418906
Hsa.3922,185.17662906838095
Hsa.41218,110.51454488567059
Hsa.2710,118.16874295194525
Hsa.307,114.86725457096065
Hsa.587,4.748894428178173
Hsa.2095,4.707092876951257
Hsa.3547,40.54303697034372
Hsa.3295,77.97994911423069
Hsa.778,31.25802213416798
Hsa.2014,9.6974526444688
Hsa.1190,14.755660788584969
Hsa.4954,155.61152199853913
Hsa.1939.1,1.7941072238578744
Hsa.3150,111.03627463248084
Hsa.568,48.04945093292076
Hsa.4992,10.885350546089725
Hsa.1006,39.740709548693026
Hsa.9277,170.1262423891619
Hsa.9817.1,134.54326796798676
Hsa.21339,7.125698483765676
Hsa.100,34.99901846331194
Hsa.8656,43.47602245363317
Hsa.951,68.17887370134693
Hsa.1847,62.967123675842046
Hsa.9623,41.89460978597146
Hsa.8606,269.9645506545698
Hsa.692,3.5190108106976297
Hsa.918,6.659476386225771
Hsa.13102,112.495952315288
Hsa.8177,53.68653813804667
Hsa.8147,9.64761472016143
Hsa.1532,20.46881316234838
Hsa.41315,3.150381350118674
Hsa.921,116.80137480314652
Hsa.3045,245.9850494507245
Hsa.628,10.443829944727742
Hsa.1070,41.248191959446096
Hsa.2714,147.68097750984177
Hsa.2613,92.29503240550787
Hsa.823,38.10258672203206
Hsa.231,32.40899194831624
i............................................................................................................................................................................................................................................................................,3.0
i.............................................................................................................................................................................................................................................................................1,3.0
i.............................................................................................................................................................................................................................................................................2,3.0
i.............................................................................................................................................................................................................................................................................3,3.0
Hsa.996,14.077200625501543
Hsa.9372,133.73371877221985
Hsa.33572,70.7714173405263
Hsa.692.1,5.060699289126963
Hsa.1825,6.315544783746007
Hsa.2806,33.70452232906685
Hsa.38375,180.57362095563644
Hsa.81,10.042578978102632
Hsa.5122,141.11755834300223
